"","logFC","logCPM","F","PValue","FDR"
"Prupe.3G251400.v2.1",3.52609238143489,2.30119097019374,89.0152606254523,3.37516364073478e-07,5.43118398308178e-05
"Prupe.1G036800.v2.1",6.44000526855671,0.744673964052049,88.9097281114555,3.39826951693672e-07,5.4358152814667e-05
"Prupe.3G086600.v2.1",-2.1630692194961,2.9751768052312,88.2989733460935,3.53562988574942e-07,5.62206993607953e-05
"Prupe.4G008300.v2.1",2.78601262289763,2.19355710359339,88.128472047233,3.57511202356281e-07,5.65141090642372e-05
"Prupe.6G333300.v2.1",4.42652453908285,0.274009055916348,87.8870198719089,3.63189701338757e-07,5.70760049361194e-05
"Prupe.4G167900.v2.1",-1.24970987161831,4.5927475218597,87.4082799120802,3.7475919218159e-07,5.85517661133481e-05
"Prupe.1G572700.v2.1",-2.77284804435609,2.93876359802941,87.227134403981,3.79247279980046e-07,5.88911839363551e-05
"Prupe.2G073800.v2.1",4.75329244092971,3.12797526222985,87.1445261125951,3.813145538245e-07,5.88911839363551e-05
"Prupe.1G300100.v2.1",3.07016143003364,5.51058472857569,86.9691608302176,3.85746300005549e-07,5.91584165027875e-05
"Prupe.1G532300.v2.1",1.74069936895743,6.54877050263372,86.902453373462,3.87447672552026e-07,5.91584165027875e-05
"Prupe.4G157800.v2.1",1.0720401791081,5.66148066480787,86.5719653776053,3.96005469197927e-07,6.01234744279994e-05
"Prupe.4G105000.v2.1",1.72254299721928,3.87062423089971,86.1299387866698,4.07794518324595e-07,6.15655173648138e-05
"Prupe.2G103300.v2.1",3.88134159011949,5.23376104505491,85.9164264106311,4.13633652147902e-07,6.20981962802825e-05
"Prupe.7G038500.v2.1",2.81821216493316,3.68113507724631,85.7196101443414,4.19101734044831e-07,6.25695605499264e-05
"Prupe.4G031900.v2.1",1.5339719406707,3.36856187149816,85.5308949656464,4.24423173537601e-07,6.2965564650331e-05
"Prupe.3G185500.v2.1",2.3355242598724,2.77415299597737,85.4600699212389,4.26440396173119e-07,6.2965564650331e-05
"Prupe.8G023700.v2.1",-3.36870754387185,5.43275125448292,85.3443447229938,4.29760296393281e-07,6.31090078960472e-05
"Prupe.6G330600.v2.1",1.12260571733048,4.54550603697773,85.0958872120872,4.36989199936173e-07,6.38217976624173e-05
"Prupe.7G031800.v2.1",2.89960025731826,0.914963693608064,84.8927634055998,4.43003427877475e-07,6.43504384721697e-05
"Prupe.4G157700.v2.1",1.56106295980102,4.31899935089022,84.6626650638952,4.4993198651694e-07,6.50054960949986e-05
"Prupe.2G223600.v2.1",-4.91183228105127,2.24543039625152,84.3136153810236,4.60682313943156e-07,6.61436334049085e-05
"Prupe.6G185200.v2.1",2.04046005917411,4.45382427430785,84.2481238575514,4.6273222491433e-07,6.61436334049085e-05
"Prupe.5G228400.v2.1",2.98006369486319,3.68252973855315,84.1648256211715,4.65354710067834e-07,6.61665456277931e-05
"Prupe.7G169900.v2.1",1.60066828674513,4.10570379839267,83.750961375416,4.78641305548472e-07,6.76975147579163e-05
"Prupe.8G171000.v2.1",3.59922810618262,1.73264839804046,83.4460573432259,4.88710062615423e-07,6.8656978846464e-05
"Prupe.1G091100.v2.1",2.51138300892168,1.22045519175262,83.3681058892052,4.91323298620037e-07,6.8656978846464e-05
"Prupe.2G268800.v2.1",-1.75606220138401,2.43536054305338,83.3156882605997,4.93089603593478e-07,6.8656978846464e-05
"Prupe.7G044200.v2.1",-3.71493346854079,0.103805776115974,83.2177538485171,4.9640933716841e-07,6.87629284418901e-05
"Prupe.6G325700.v2.1",2.84365971480148,1.04645220048447,83.0753106528604,5.01283925919807e-07,6.90820663653486e-05
"Prupe.7G179900.v2.1",-1.18870253334831,4.0448500215424,82.4978069872275,5.21620763607893e-07,7.15179325532393e-05
"Prupe.2G101100.v2.1",1.56145085800408,3.37619586400303,82.1377260609068,5.34782443071893e-07,7.29502974247258e-05
"Prupe.1G287200.v2.1",0.963594176566741,5.15843240549956,81.9051128204329,5.43488545713324e-07,7.37634731765361e-05
"Prupe.6G151000.v2.1",2.62454243205901,2.50469473639763,81.609064228847,5.54806312742433e-07,7.4921155991595e-05
"Prupe.3G217600.v2.1",3.96368083071964,3.18344525970483,81.2072872079486,5.70603568261819e-07,7.66691484494993e-05
"Prupe.7G260300.v2.1",1.1672533336626,6.03038155436049,81.0542144510677,5.76758173420146e-07,7.71105591757193e-05
"Prupe.1G141500.v2.1",2.097951556953,5.53433170740959,80.7845327904687,5.87788512806545e-07,7.81962411121301e-05
"Prupe.4G161200.v2.1",1.99775906941421,4.41094811083882,80.5021007623438,5.99602038005147e-07,7.93749042724744e-05
"Prupe.3G010000.v2.1",-6.56463018611533,1.09681025287866,80.1983662703805,6.12613325823233e-07,8.06997936512144e-05
"Prupe.1G197300.v2.1",-6.01961388480734,0.0373955503539309,80.0216921352797,6.20331334777201e-07,8.09331176870688e-05
