"","logFC","logCPM","F","PValue","FDR"
"Prupe.3G246700.v2.1",-1.17564122041694,5.13721864324516,100.046218137873,1.71597439566016e-07,2.89702896865994e-05
"Prupe.1G531500.v2.1",-3.23762157369841,3.7232640594886,99.7972382613105,1.74107213359583e-07,2.89702896865994e-05
"Prupe.1G194800.v2.1",1.52829835113177,4.19511114725527,99.7402783278247,1.74687316545457e-07,2.89702896865994e-05
"Prupe.5G234300.v2.1",1.88383729292787,7.40168315795401,99.736612917449,1.74724722846461e-07,2.89702896865994e-05
"Prupe.8G018400.v2.1",-1.65283674697143,6.00410984817268,99.6431042908318,1.75682129370043e-07,2.89702896865994e-05
"Prupe.8G131500.v2.1",3.51652225996828,4.90959574188494,99.637596442282,1.75738710967796e-07,2.89702896865994e-05
"Prupe.7G261300.v2.1",1.91631988833621,9.04924515983892,99.4971486542869,1.77188642562814e-07,2.89702896865994e-05
"Prupe.8G250000.v2.1",2.17895341361935,4.10173515235473,99.4309012688279,1.77877341505931e-07,2.89702896865994e-05
"Prupe.6G271800.v2.1",1.20173194528965,5.61829705548217,99.1741903794466,1.80575390944427e-07,2.92325450653589e-05
"Prupe.6G320400.v2.1",1.53876857341387,4.52444523828338,98.6112529148297,1.86658816317575e-07,3.00364213826479e-05
"Prupe.3G263100.v2.1",-1.90967016677226,8.1372885224752,98.3130090931255,1.89977423429472e-07,3.03884720227393e-05
"Prupe.7G227500.v2.1",-3.60903018293153,5.79775847420079,97.9395891921519,1.94228904416399e-07,3.08846943691236e-05
"Prupe.5G044300.v2.1",1.87546272333984,5.36152758726834,97.6548739342389,1.97544262945651e-07,3.11600849293422e-05
"Prupe.1G277500.v2.1",3.26339099764232,5.80224570043563,97.5924497963931,1.98279854237246e-07,3.11600849293422e-05
"Prupe.3G225900.v2.1",-2.99890672564517,2.73708613971367,97.2810183922612,2.01997211885011e-07,3.14037672727074e-05
"Prupe.5G059000.v2.1",-2.52332557458618,4.23833853514103,97.2313098626318,2.02597959271511e-07,3.14037672727074e-05
"Prupe.4G021400.v2.1",1.27962286535217,5.43738339074563,97.1704512750499,2.03336267087824e-07,3.14037672727074e-05
"Prupe.3G298600.v2.1",3.27341885165686,4.58425400170804,96.8923684855877,2.0674956329762e-07,3.17484629399825e-05
"Prupe.6G060200.v2.1",-2.57408385896853,1.42413811906757,96.2615789762453,2.14739976328915e-07,3.27881101357212e-05
"Prupe.1G254300.v2.1",-1.35251329720065,3.59059156793443,95.7128894492588,2.21981101488582e-07,3.3702249380241e-05
"Prupe.1G341600.v2.1",-3.5251654243833,5.97825160735701,95.5969273842128,2.23547283631383e-07,3.37493604102593e-05
"Prupe.2G043900.v2.1",2.39537689855663,4.0017650915174,95.5029687702509,2.2482563771122e-07,3.37527338671152e-05
"Prupe.5G228100.v2.1",-3.61602588344017,3.7728275845451,94.980049478289,2.32096139275794e-07,3.465066417088e-05
"Prupe.1G201200.v2.1",-5.86720616908999,-0.23543514279115,94.3668992229392,2.40969096716682e-07,3.57565489975862e-05
"Prupe.8G138400.v2.1",-2.38035443442213,2.92224814801746,94.2862732722553,2.42164697561147e-07,3.57565489975862e-05
"Prupe.6G319600.v2.1",2.85808899598068,9.86117981382399,93.8688498792861,2.48465133838174e-07,3.64863581510013e-05
"Prupe.7G240800.v2.1",-1.29988715265579,5.57897559076858,93.704437595375,2.50998455936001e-07,3.65390412254621e-05
"Prupe.6G223600.v2.1",3.44420146000378,4.36782080026046,93.6693284333826,2.51543282354426e-07,3.65390412254621e-05
"Prupe.6G290800.v2.1",1.61325757597385,5.41416027321943,93.578190422407,2.52963945204202e-07,3.6547849997164e-05
"Prupe.5G111600.v2.1",-1.59181444340821,3.63472036249879,93.431823772989,2.55264922578643e-07,3.66830709329191e-05
"Prupe.4G250100.v2.1",-2.36999107332269,3.36658952340254,92.9021384431935,2.63796034801194e-07,3.75653864648888e-05
"Prupe.2G280800.v2.1",1.68866232816965,7.09952758732842,92.8775224771967,2.64200425775462e-07,3.75653864648888e-05
"Prupe.1G276600.v2.1",-1.23769079870138,3.7500125436176,92.4870477249941,2.70711735878345e-07,3.81488947418239e-05
"Prupe.1G580200.v2.1",-3.02123152986041,5.14770609828246,92.4615400165198,2.71143485866422e-07,3.81488947418239e-05
"Prupe.3G024700.v2.1",3.14772578414763,3.61817401259364,92.258132074283,2.74614980361718e-07,3.84360852461481e-05
"Prupe.8G269600.v2.1",2.55778015038035,5.35532144143478,92.1508715800129,2.76466185482933e-07,3.84946932771133e-05
"Prupe.8G092800.v2.1",4.35638900669383,2.49394840290733,91.2532191895948,2.92535946945515e-07,4.04766282799475e-05
"Prupe.3G068100.v2.1",2.33938003762433,4.26617588079803,91.1897296921771,2.9371274195623e-07,4.04766282799475e-05
"Prupe.4G116200.v2.1",1.16145357780559,4.59793727531282,90.9062451581418,2.99034260560673e-07,4.09699374198858e-05
"Prupe.1G337600.v2.1",6.48781601716914,3.00404913570349,90.8022008354761,3.01015192786617e-07,4.09699374198858e-05
"Prupe.7G139600.v2.1",1.27423222950078,7.25855871081841,90.75775106993,3.0186609642159e-07,4.09699374198858e-05
"Prupe.1G255500.v2.1",2.22779829069298,3.71444901243243,89.7290801142784,3.22354837775004e-07,4.35172923920178e-05
"Prupe.6G251400.v2.1",2.53315508118701,4.02578162108331,89.6558416926703,3.23873720031391e-07,4.35172923920178e-05
"Prupe.4G117900.v2.1",2.06853747180166,3.60822636474592,89.3464861364014,3.30381135224179e-07,4.41708071984047e-05
"Prupe.6G077600.v2.1",-1.12772071175916,7.85916874998498,89.1761912137979,3.34027649815892e-07,4.44291312779298e-05
"Prupe.6G040000.v2.1",1.87583584506764,4.92722974523389,89.1025030308781,3.35619902854901e-07,4.44291312779298e-05
"Prupe.3G018900.v2.1",1.10987259526924,7.02743974179568,88.358215100051,3.52202944883862e-07,4.6395832048353e-05
"Prupe.6G262300.v2.1",-1.44369029321755,6.77589922220165,88.0225996450162,3.5998842223926e-07,4.71900920528568e-05
"Prupe.1G445000.v2.1",2.71411278593324,4.38703645011472,87.7717065772597,3.65938309205597e-07,4.73939285558585e-05
"Prupe.6G217200.v2.1",3.265758504194,3.01382689508634,87.6786694252017,3.68173437365288e-07,4.73939285558585e-05
"Prupe.3G080100.v2.1",-1.15289517395387,4.48363489533077,87.6325404645726,3.69287477172699e-07,4.73939285558585e-05
"Prupe.3G148800.v2.1",-0.958974913296751,5.39828031578536,87.6256222168091,3.69454891682211e-07,4.73939285558585e-05
"Prupe.3G131700.v2.1",2.29972093113514,4.73748434375598,87.5882195474045,3.70361515153883e-07,4.73939285558585e-05
"Prupe.4G181300.v2.1",-1.99598884343066,4.84756607389062,87.4941785577048,3.72652383361331e-07,4.74610781899006e-05
"Prupe.7G005100.v2.1",1.06497238245901,4.82852888459207,87.2372756024817,3.78994388179621e-07,4.80411141205234e-05
"Prupe.7G142100.v2.1",2.29975477727523,5.45175328937847,87.0565229210017,3.83531145578758e-07,4.83879458926665e-05
"Prupe.8G018300.v2.1",-1.37097458440785,6.47696725674022,86.8468154856189,3.88873337365035e-07,4.87418176909819e-05
"Prupe.5G011500.v2.1",1.64825994478552,3.61383510310192,86.8044269456744,3.89963562072009e-07,4.87418176909819e-05
"Prupe.3G200500.v2.1",1.78809915461008,5.31406198592063,85.3919630537401,4.28390635555735e-07,5.29271506491122e-05
"Prupe.4G046800.v2.1",6.16071586981329,0.710882699524432,85.3176514624673,4.3053029163302e-07,5.29271506491122e-05
"Prupe.1G149700.v2.1",-2.25010126268601,5.03902560129453,85.3069783718932,4.30838613352508e-07,5.29271506491122e-05
"Prupe.3G003300.v2.1",-1.66042340985106,5.63476747818119,85.2900957957182,4.3132683333292e-07,5.29271506491122e-05
"Prupe.1G373000.v2.1",5.35454295447171,2.58724549170489,84.9841711875166,4.40285228177231e-07,5.36327878718703e-05
"Prupe.2G239400.v2.1",-2.04827689064592,5.18802020937516,84.9362266798088,4.41708551337805e-07,5.36327878718703e-05
"Prupe.8G160100.v2.1",-2.27401595254214,5.7851539177183,84.8214398462865,4.45137828288879e-07,5.36327878718703e-05
"Prupe.1G015800.v2.1",2.74415743465004,2.842217907028,84.7876083041256,4.46154402937393e-07,5.36327878718703e-05
"Prupe.8G201000.v2.1",6.1777246590308,0.147453235537154,84.7576669053129,4.4705631984888e-07,5.36327878718703e-05
"Prupe.3G280700.v2.1",2.47821127132654,5.29742531797088,84.4305880306178,4.57047023054659e-07,5.45713292301e-05
