gene	Badami_LB_400CH_Clone14	Badami_LB_400CH_Clone15	Badami_LB_400CH_Clone16	Badami_LB_800CH_Clone14	Badami_LB_800CH_Clone15	Badami_LB_800CH_Clone16	Bergeron_LB_400CH_Clone10	Bergeron_LB_400CH_Clone8	Bergeron_LB_400CH_Clone9	Bergeron_LB_800CH_Clone10	Bergeron_LB_800CH_Clone8	Bergeron_LB_800CH_Clone9
Prupe.1G019300.v2.1	0	0	0	0	0	0	0	0	0	0	0	1
Prupe.1G019400.v2.1	1855	2582	2319	3550	3775	4327	2120	4841	1986	1404	2802	3441
Prupe.1G019500.v2.1	3248	5645	5421	4019	5005	6484	3104	4610	4041	1227	3365	4532
Prupe.1G019600.v2.1	0	0	0	0	0	0	2	1	0	5	0	0
Prupe.1G019700.v2.1	0	0	0	0	0	0	0	2	1	0	40	43
Prupe.1G019800.v2.1	342	610	530	311	308	473	320	407	290	93	150	226
Prupe.1G019900.v2.1	1	3	0	8	5	19	1	0	1	0	1	23
Prupe.1G020000.v2.1	11	14	15	93	138	112	82	300	109	94	265	187
Prupe.1G020100.v2.1	1	0	1	24	40	21	35	66	26	281	296	295
Prupe.1G020200.v2.1	120	232	307	204	215	270	151	263	376	135	278	362
Prupe.1G020300.v2.1	734	1252	1198	1003	1060	1650	569	615	573	92	706	860
Prupe.1G020400.v2.1	8	0	1	6	4	3	2	0	0	2	5	7
Prupe.1G020500.v2.1	12	13	14	9	6	8	6	15	13	24	40	26
Prupe.1G020600.v2.1	63	107	75	79	81	108	74	68	69	44	77	106
Prupe.1G020700.v2.1	224	377	297	223	236	343	203	252	198	108	170	172
Prupe.1G020800.v2.1	262	674	545	1418	1233	1437	243	1022	1013	117	459	551
Prupe.1G020900.v2.1	485	632	504	659	583	732	453	557	415	279	360	390
Prupe.1G021000.v2.1	118	193	186	373	364	417	173	236	179	353	411	442
Prupe.1G021100.v2.1	4121	8352	8194	5342	6415	7586	4970	7544	7864	3423	7274	5973
Prupe.1G021200.v2.1	36	40	34	52	48	67	42	63	37	26	30	26
Prupe.1G021300.v2.1	340	716	696	363	580	606	379	723	609	148	443	533
Prupe.1G021400.v2.1	563	895	603	380	466	621	328	488	219	467	752	1000
Prupe.1G021500.v2.1	269	87	29	1	0	0	88	14	19	3	5	2
Prupe.1G021600.v2.1	2779	3815	2203	21	18	23	1789	1326	1630	10	18	23
Prupe.1G021700.v2.1	595	1201	633	0	5	2	331	357	425	3	5	4
Prupe.1G021800.v2.1	40	122	61	19	31	46	71	47	29	8	8	38
Prupe.1G021900.v2.1	72	107	125	94	135	153	72	118	74	34	86	118
Prupe.1G022000.v2.1	23	44	55	30	57	60	27	89	37	17	20	23
Prupe.1G022100.v2.1	120	150	179	153	150	193	135	154	138	157	127	113
Prupe.1G022200.v2.1	0	0	0	0	0	1	0	0	0	0	1	1
Prupe.1G022300.v2.1	1146	1703	1753	1149	1277	1385	1204	1368	1379	1015	1733	2127
Prupe.1G022400.v2.1	204	835	883	661	1435	1640	334	834	696	340	1858	2296
Prupe.1G022500.v2.1	6	17	19	39	74	97	3	17	20	5	18	25
Prupe.1G022600.v2.1	980	1975	2034	1435	1892	2043	1003	1501	1336	481	1234	1204
Prupe.1G022700.v2.1	16	25	12	9	13	19	9	15	15	14	8	5
Prupe.1G022800.v2.1	3	8	3	6	3	9	5	5	3	0	2	6
Prupe.1G022900.v2.1	1832	3173	3066	1698	1998	2713	1477	2244	1713	229	1718	2000
Prupe.1G023000.v2.1	1033	1650	2251	1180	1586	1680	1106	1768	3316	558	1475	1287
Prupe.1G023100.v2.1	2	3	3	45	42	32	16	12	2	14	17	2
Prupe.1G023200.v2.1	20	24	52	104	90	64	83	138	303	117	349	251
Prupe.1G023300.v2.1	20	27	139	77	149	95	91	242	759	104	794	632
Prupe.1G023400.v2.1	15	16	92	106	89	77	55	144	381	107	452	394
Prupe.1G023500.v2.1	16	25	26	33	32	46	13	25	34	14	21	35
Prupe.1G023600.v2.1	17	53	132	109	153	130	184	181	285	35	134	140
Prupe.1G023700.v2.1	706	1804	1745	993	1376	1873	729	1191	993	203	1030	1498
Prupe.1G023800.v2.1	2074	3099	2633	2407	2001	2658	2446	3442	2759	728	2687	2208
Prupe.1G023900.v2.1	0	0	0	0	0	0	0	0	0	0	0	0
Prupe.1G024000.v2.1	21	70	74	38	41	59	32	63	65	18	89	100
Prupe.1G024100.v2.1	447	694	637	594	606	698	495	612	524	351	763	903
Prupe.1G024200.v2.1	969	1567	1303	840	1040	1182	784	1201	939	285	663	880
Prupe.1G024300.v2.1	0	0	0	0	0	0	0	0	0	0	1	0
Prupe.1G024400.v2.1	0	0	0	0	0	0	0	0	0	3	1	3
Prupe.1G024500.v2.1	0	2	1	0	1	3	0	0	1	6	16	14
Prupe.1G024600.v2.1	9	17	22	11	10	17	1	0	0	1	4	1
Prupe.1G024700.v2.1	0	2	0	0	2	0	2	0	0	0	0	0
Prupe.1G024800.v2.1	0	0	0	0	0	0	0	0	0	0	2	5
Prupe.1G024900.v2.1	753	976	659	1079	1311	1532	427	871	424	269	955	975
Prupe.1G025000.v2.1	57	73	71	58	73	80	82	77	75	33	55	64
Prupe.1G025100.v2.1	432	942	978	471	727	896	397	750	787	183	631	707
Prupe.1G025200.v2.1	83	214	212	187	185	269	142	201	163	66	173	214
Prupe.1G025300.v2.1	0	0	0	0	0	0	0	0	0	0	0	0
Prupe.1G025400.v2.1	0	0	0	0	0	0	0	0	0	0	0	0
Prupe.1G025500.v2.1	448	904	836	562	722	941	427	636	452	213	529	542
Prupe.1G025600.v2.1	1248	2482	1715	1165	1141	1259	1480	2379	2419	737	3074	3411
Prupe.1G025700.v2.1	165	386	931	1214	1391	1211	336	627	1367	454	1692	1364
Prupe.1G025800.v2.1	359	513	370	333	359	400	391	448	348	305	423	469
Prupe.1G025900.v2.1	12	5	6	16	25	21	4	1	1	77	29	41
Prupe.1G026000.v2.1	0	1	1	1	0	0	0	0	0	2	0	0
Prupe.1G026100.v2.1	5	10	4	7	9	6	18	10	3	218	94	125
Prupe.1G026200.v2.1	5	1	2	5	4	5	1	0	0	13	6	12
Prupe.1G026300.v2.1	0	1	0	0	0	1	0	0	0	0	0	0
Prupe.1G026400.v2.1	348	463	286	785	978	1028	1007	1499	926	730	821	791
Prupe.1G026500.v2.1	103	197	211	132	163	209	96	144	118	46	86	66
Prupe.1G026600.v2.1	0	0	0	0	0	0	0	0	0	0	0	0
Prupe.1G026700.v2.1	30	56	57	23	49	41	17	35	17	2	11	16
